Timestep,poi_abc_1,poi_abc_11,poi_abc_12,poi_abc_13,poi_abc_14,poi_abc_15,poi_abc_16,poi_abc_17,poi_abc_3,poi_abc_4,poi_abc_5,poi_abc_6,poi_abc_7,poi_abc_8,poi_abc_9
57598,10,128,202,0,96,18,0,172,0,0,10,56,0,0,46
57599,10,130,200,0,98,18,0,174,0,0,10,54,0,0,46
57600,10,130,200,0,96,16,0,176,0,0,10,54,0,0,46
57601,12,132,202,0,96,14,0,174,2,0,10,54,0,0,44
57602,14,134,202,0,96,12,0,176,2,0,10,54,0,0,40
57603,14,136,204,0,100,8,0,176,2,0,10,50,0,0,40
57604,16,136,200,0,102,8,0,180,2,0,10,48,0,0,38
57605,18,138,202,0,104,6,0,182,2,0,12,46,0,0,36
57606,16,140,204,0,102,6,0,182,2,0,12,48,0,0,36
57607,18,140,204,0,106,6,0,182,2,0,14,46,0,0,34
57608,16,142,202,0,106,6,0,184,2,0,14,42,0,0,34
57609,16,144,206,0,110,4,0,182,0,0,16,40,0,0,34
57610,16,146,206,0,112,2,0,184,0,0,18,36,0,0,32
57611,14,148,204,0,112,2,0,186,0,0,18,36,0,2,32
57612,14,146,204,0,112,4,0,190,0,0,20,34,0,2,32
57613,14,144,204,0,116,4,0,190,0,0,18,30,0,2,30
57614,16,146,206,0,118,4,0,188,0,0,18,30,0,2,28
57615,16,142,206,0,120,4,0,190,0,0,16,32,0,2,24
57616,16,142,204,0,126,4,0,192,0,0,16,28,0,4,22
57617,18,140,206,0,126,4,0,192,0,0,16,30,0,4,18
57618,18,140,204,0,130,6,0,190,0,0,16,30,0,4,12
57619,20,138,206,0,124,4,0,190,0,0,16,34,0,4,12
57620,20,134,204,0,126,8,0,192,2,0,16,34,0,4,10
57621,18,132,206,0,122,8,0,192,2,0,16,38,0,4,12
57622,20,128,204,0,122,10,0,194,2,0,14,38,0,6,12
57623,18,128,204,0,118,10,0,196,2,0,14,44,0,6,14
57624,14,126,202,0,118,10,0,202,2,0,14,44,0,6,18
57625,14,124,206,0,118,12,0,198,2,0,16,44,0,6,18
57626,14,120,204,0,118,16,0,198,2,0,18,44,0,6,18
57627,8,116,204,0,116,18,0,196,2,0,20,46,0,6,24
57628,8,118,204,0,114,20,0,198,2,0,20,46,0,6,24
57629,6,116,202,0,112,20,0,198,2,0,20,46,0,6,26
57630,8,114,202,0,114,26,0,192,0,0,20,46,0,6,26
57631,8,110,202,0,110,24,0,192,0,0,20,48,0,6,26
57632,8,108,198,0,108,28,0,192,0,0,20,46,0,8,26
57633,8,108,200,0,110,28,0,190,0,0,18,40,0,10,26
57634,8,108,198,0,110,28,0,192,0,0,20,42,0,10,26
57635,8,106,196,0,110,32,0,190,0,0,22,42,0,10,26
57636,8,106,192,0,112,32,0,190,0,0,22,38,0,10,26
57637,8,106,186,0,112,36,0,190,0,0,24,38,0,10,26
57638,8,108,188,0,112,34,0,188,0,0,24,36,0,8,26
57639,6,106,184,0,112,36,0,188,2,0,26,36,0,8,26
57640,6,108,184,0,114,34,0,188,2,0,26,34,0,8,26
57641,8,104,180,0,114,36,0,188,2,0,24,34,0,8,28
57642,8,108,182,0,116,30,0,184,2,0,26,36,0,6,28
57643,8,106,180,0,118,32,0,182,2,0,26,34,0,6,28
57644,8,104,178,0,118,34,0,180,2,0,24,34,0,8,28
57645,6,102,174,0,118,38,0,182,4,0,22,28,0,10,28
57646,8,102,172,0,116,36,0,184,4,0,22,26,0,8,28
57647,6,102,170,0,116,38,0,186,4,0,22,26,0,8,30
57648,8,100,170,0,116,38,0,190,4,0,24,28,0,8,30
57649,8,104,168,0,116,36,0,184,4,0,24,28,0,8,30
57650,8,104,168,0,116,36,0,182,2,0,24,28,0,8,30
57651,8,104,164,0,116,36,0,182,2,0,22,28,0,10,30
57652,6,106,164,0,116,32,0,184,2,0,22,28,0,12,32
57653,6,108,164,0,116,30,0,184,2,0,22,28,0,12,32
57654,6,106,164,0,114,28,0,192,2,0,20,28,0,12,34
57655,8,104,164,0,116,28,0,190,2,0,20,28,0,12,34
57656,6,106,164,0,118,24,0,190,2,0,20,28,0,12,36
57657,6,106,162,0,118,22,0,194,2,0,20,28,0,12,36
57658,6,108,162,0,116,20,0,194,0,0,20,28,0,12,38
57659,6,106,160,0,118,20,0,194,0,0,22,28,0,12,40
57660,4,104,160,0,118,20,0,196,0,0,22,26,0,12,42
57661,4,106,162,0,118,18,0,196,0,0,22,26,0,12,42
57662,4,106,160,0,118,18,0,198,0,0,22,28,0,12,42
57663,6,106,162,0,120,16,0,196,0,0,22,26,0,12,42
57664,6,106,160,0,122,16,0,196,0,0,22,28,0,12,44
57665,6,106,166,0,124,14,0,196,0,0,22,28,0,12,46
57666,4,108,166,0,128,14,0,192,0,0,24,28,0,10,48
57667,4,108,166,0,128,14,0,194,0,0,22,26,0,12,48
57668,4,108,166,0,128,14,0,190,0,0,24,24,0,10,50
57669,4,110,166,0,126,16,0,194,0,0,24,24,0,10,50
57670,2,112,166,0,122,16,0,194,0,0,24,24,0,10,54
57671,2,112,162,0,120,16,0,196,0,0,24,24,0,10,56
57672,2,112,162,0,118,18,0,198,0,0,24,26,0,10,60
57673,0,114,160,0,112,18,0,204,0,0,24,26,0,10,66
57674,0,116,158,0,110,18,0,204,0,0,22,28,0,12,66
57675,0,118,160,0,110,18,0,206,0,0,20,34,0,12,66
57676,2,118,160,0,110,16,0,204,0,0,20,38,0,10,66
57677,4,118,158,0,106,16,0,206,0,0,18,42,0,12,64
57678,4,118,158,0,108,14,0,204,0,0,16,48,0,12,66
57679,4,118,156,0,100,14,0,204,0,0,16,54,0,12,66
57680,4,118,158,0,102,12,0,204,0,0,16,58,0,12,66
57681,4,120,160,0,98,12,0,210,2,0,14,60,0,14,64
57682,4,120,164,0,100,10,0,214,2,0,14,64,0,14,60
57683,4,120,168,0,102,6,0,214,2,0,14,64,0,14,60
57684,4,120,168,0,98,6,0,220,4,0,14,64,0,14,58
57685,4,120,170,0,98,4,0,222,4,0,14,66,0,14,58
57686,6,120,170,0,98,2,0,226,4,0,14,68,0,14,58
57687,6,120,170,0,98,2,0,232,4,0,20,68,0,14,52
57688,6,122,170,0,96,2,0,236,4,0,18,66,0,16,52
57689,6,120,168,0,100,6,0,236,4,0,20,66,0,16,50
57690,8,120,166,0,102,6,0,234,2,0,20,62,0,18,50
57691,8,122,162,0,104,8,0,238,2,0,22,60,0,18,46
57692,8,122,162,0,106,8,0,240,2,0,22,56,0,20,46
57693,8,122,158,0,106,10,0,244,0,0,22,56,0,18,46
57694,8,122,154,0,104,12,0,246,0,0,22,60,0,18,44
57695,8,122,154,0,102,12,0,244,0,0,22,62,0,18,44
57696,8,122,152,0,100,12,0,244,0,0,20,68,0,16,44
57697,8,124,152,0,104,12,0,244,0,0,20,70,0,12,42
57698,8,124,152,0,100,12,0,244,0,0,18,74,0,12,42
57699,8,124,148,0,102,12,0,246,0,0,18,74,0,10,42
57700,6,124,150,0,102,12,0,244,2,0,18,74,0,10,42
57701,6,124,146,0,100,10,0,248,2,0,16,70,0,10,40
57702,6,122,148,0,100,10,0,246,2,0,16,66,0,8,40
57703,8,120,148,0,102,8,0,248,2,0,16,62,0,8,38
57704,8,118,152,0,104,8,0,250,2,0,16,62,0,8,36
57705,8,116,152,0,106,6,0,254,2,0,16,62,0,8,32
57706,8,114,152,0,106,6,0,256,2,0,16,62,0,8,32
57707,8,112,152,0,108,6,0,262,4,0,16,58,0,8,34
57708,8,108,146,0,102,10,0,264,4,0,16,62,0,8,34
57709,8,106,146,0,106,10,0,268,4,0,16,60,0,8,30
57710,8,104,150,0,106,12,0,270,4,0,14,54,0,10,32
57711,6,100,150,0,102,12,0,270,2,0,14,56,0,10,36
57712,6,100,142,0,102,16,0,278,2,0,14,54,0,10,36
57713,8,94,144,0,104,18,0,278,2,0,14,50,0,10,36
57714,10,92,146,0,110,18,0,276,2,0,16,44,0,10,36
57715,10,86,144,0,116,22,0,274,2,0,18,38,0,10,36
57716,12,82,140,0,116,26,0,276,2,0,20,36,0,8,36
57717,12,80,140,0,116,28,0,274,4,0,20,36,0,10,36
57718,12,78,140,0,118,30,0,272,2,0,22,34,0,10,38
57719,10,78,138,0,118,32,0,270,2,0,24,32,0,10,40
57720,10,78,140,0,116,36,0,270,2,0,24,30,0,12,38
57721,8,76,142,0,120,38,0,264,2,0,24,28,0,10,38
57722,8,76,144,0,120,44,0,256,2,0,26,28,0,12,38
57723,6,76,146,0,122,40,0,254,4,0,26,28,0,14,36
57724,4,72,148,0,122,44,0,254,4,0,26,26,0,14,36
57725,4,70,146,0,122,42,0,250,4,0,28,24,0,16,36
57726,6,72,144,0,122,44,0,250,2,0,28,26,0,16,34
57727,6,70,146,0,122,42,0,252,2,0,28,26,0,16,34
57728,6,72,146,0,122,42,0,248,2,0,28,26,0,14,34
57729,8,70,144,0,122,40,0,248,2,0,28,26,0,16,34
57730,8,72,140,0,124,42,0,248,2,0,24,22,0,18,36
57731,10,70,140,0,122,36,0,244,2,0,22,24,0,20,36
57732,10,68,140,0,122,38,0,244,0,0,20,26,0,20,38
57733,12,68,140,0,122,38,0,242,0,0,20,26,0,20,38
57734,14,64,138,0,118,40,0,244,0,0,22,28,0,20,38
57735,14,66,138,0,118,36,0,246,0,0,22,26,0,20,38
57736,12,64,138,0,116,36,0,248,0,0,22,26,0,20,40
57737,12,64,140,0,112,30,0,244,0,0,22,24,0,20,44
57738,12,68,140,0,112,26,0,240,0,0,22,24,0,20,44
57739,14,68,140,0,110,26,0,238,0,0,22,26,0,20,46
57740,16,70,140,0,108,22,0,238,0,0,22,26,0,20,46
57741,14,68,142,0,108,24,0,232,2,0,22,26,0,20,48
57742,16,68,146,0,108,16,0,232,2,0,22,28,0,20,44
57743,14,68,146,0,108,16,0,232,2,0,22,28,0,20,46
57744,14,68,148,0,110,14,0,228,2,0,24,30,0,18,46
57745,12,68,148,0,108,14,0,228,2,0,24,32,0,20,48
57746,10,70,150,0,106,10,0,226,2,0,26,32,0,18,50
57747,10,70,150,0,106,10,0,224,2,0,28,30,0,16,50
57748,6,70,154,0,106,8,0,218,2,0,26,30,0,16,54
57749,10,70,156,0,106,8,0,218,0,0,28,28,0,14,52
57750,8,74,156,0,104,4,0,216,0,0,26,28,0,14,54
57751,8,76,160,0,108,4,0,212,0,0,28,26,0,12,54
57752,8,78,160,0,108,2,0,210,0,0,28,28,0,10,54
57753,8,78,162,0,112,2,0,204,0,0,28,24,0,10,54
57754,8,76,162,0,116,4,0,200,0,0,28,22,0,10,54
57755,8,76,164,0,118,4,0,194,0,0,30,24,0,8,54
57756,6,74,166,0,120,4,0,194,0,0,28,20,0,10,56
57757,6,74,164,0,126,4,0,188,0,0,26,16,0,10,56
57758,6,74,164,0,130,4,0,188,0,0,26,16,0,10,56
57759,6,74,164,0,134,4,0,184,0,0,24,16,0,12,54
57760,6,74,164,0,138,4,0,182,0,0,26,16,0,12,54
57761,6,74,164,0,138,4,0,180,0,0,24,18,0,12,54
57762,4,74,160,0,144,6,0,176,0,0,24,18,0,12,56
57763,4,76,162,0,150,6,0,172,0,0,26,18,0,12,54
57764,4,76,160,0,150,6,0,174,0,0,26,18,0,14,54
57765,4,76,162,0,150,6,0,172,2,0,26,18,0,14,54
57766,4,76,162,0,152,6,0,172,2,0,24,18,0,16,52
57767,4,76,162,0,156,6,0,170,2,0,24,20,0,16,52
57768,4,76,162,0,158,6,0,166,2,0,24,20,0,16,54
57769,4,76,162,0,164,6,0,164,2,0,24,22,0,16,52
57770,4,76,164,0,166,6,0,162,2,0,24,24,0,16,52
57771,4,76,164,0,166,6,0,162,2,0,22,24,0,18,52
57772,6,76,164,0,164,4,0,160,2,0,22,24,0,18,52
57773,6,76,164,0,168,4,0,158,2,0,22,26,0,18,50
57774,6,78,162,0,164,2,0,162,2,0,24,26,0,18,52
57775,4,80,162,0,166,2,0,164,2,0,24,26,0,18,50
57776,4,82,160,0,162,2,0,170,0,0,26,26,0,16,52
57777,4,80,160,0,160,0,0,174,0,0,30,28,0,16,50
57778,4,80,160,0,160,0,0,174,0,0,30,28,0,16,48
57779,4,80,160,0,156,2,0,176,0,0,32,34,0,18,46
57780,4,82,160,0,154,2,0,178,2,0,32,34,0,18,46
57781,4,84,160,0,148,4,0,182,2,0,32,38,0,18,48
57782,4,84,160,0,146,4,0,182,2,0,32,42,0,18,48
57783,4,86,156,0,142,6,0,186,4,0,32,48,0,16,46
57784,4,86,156,0,136,6,0,188,4,0,30,52,0,16,46
57785,4,88,152,0,136,8,0,190,6,0,26,56,0,14,46
57786,4,88,148,0,136,8,0,196,6,0,26,54,0,14,44
57787,4,90,148,0,136,8,0,196,6,0,24,58,0,12,44
57788,6,92,146,0,132,10,0,198,4,0,24,60,0,10,46
57789,6,92,146,0,132,10,0,200,4,0,22,58,0,10,46
57790,6,92,144,0,126,12,0,202,4,0,20,64,0,6,46
57791,6,92,142,0,122,12,0,208,4,0,20,60,0,6,46
57792,6,90,142,0,124,14,0,206,4,0,18,60,0,4,46
57793,8,86,140,0,118,14,0,208,2,0,18,66,0,2,44
57794,8,86,140,0,118,14,0,216,2,0,16,64,0,2,42
57795,8,80,138,0,120,18,0,222,2,0,16,66,0,2,40
57796,8,80,140,0,122,16,0,226,2,0,14,62,0,4,38
57797,8,78,138,0,124,20,0,226,2,0,14,62,0,4,38
57798,8,76,140,0,124,18,0,228,2,0,12,58,0,6,38
57799,8,74,136,0,126,20,0,234,2,0,12,54,0,6,38
57800,8,72,130,0,126,24,0,238,2,0,10,52,0,8,38
